date,ALL.Download,ALL.Upload,zona 1.Download,zona 1.Upload,zona 10.Download,zona 10.Upload,zona 2.Download,zona 2.Upload,zona 3.Download,zona 3.Upload,zona 4.Download,zona 4.Upload,zona 5.Download,zona 5.Upload,zona 6.Download,zona 6.Upload,zona 7.Download,zona 7.Upload,zona 8.Download,zona 8.Upload,zona 9.Download,zona 9.Upload
2019/06/15,513113.6107225418,64492.84667015076,50968.61408042908,11838.417419433594,84109.93075370789,8811.134568214417,41041.3363571167,3502.2506561279297,80050.02810668945,8277.166155815125,50910.18593406677,3438.033745765686,27452.83975791931,2073.8898487091064,49923.574482917786,8345.933813095093,38308.34448051453,5832.310969352722,45939.348326683044,4844.681097984314,44409.40844249725,7529.028395652771
2019/06/14,548131.6293563843,68424.12454128265,48783.09975528717,10805.49008846283,93769.19942855835,10040.045251846313,43336.74524974823,6413.637026786804,87492.53774738312,9907.06263256073,40267.23652076721,5820.295289993286,28272.230228424072,2401.450976371765,61726.675340652466,7037.432334899902,54787.57851982117,5649.970911979675,43355.2627325058,5203.793801307678,46341.063833236694,5144.946227073669
2019/06/13,556772.724486351,65040.27565765381,54245.718185424805,12597.430426597595,102570.77074337006,8468.2210521698,40564.367263793945,4245.4527759552,81950.35007572174,10772.178011894226,54237.50600337982,4998.378391265869,27081.82817840576,2029.6702165603638,58517.90289783478,7036.1752462387085,53603.3756980896,4443.253551483154,32776.50987529755,3754.9359493255615,51224.39556503296,6694.58003616333
2019/06/12,541206.8040962219,66292.96520423889,47018.88040447235,10585.631341934204,91398.72334575653,8105.64359664917,43998.11906337738,5173.325245857239,86509.73345947266,11440.788219451904,45104.096881866455,3998.8251094818115,39717.4240026474,5786.2237157821655,57153.60034275055,7161.9271812438965,44870.41473579407,3407.8986377716064,38070.487854003906,5591.467947006226,47365.32400608063,5041.234209060669
2019/06/11,519418.3422050476,63555.585636138916,51792.61263370514,12868.513313293457,99556.11251449585,9196.006143569946,35738.5524892807,4962.950846672058,81433.31513786316,8372.666007041931,40067.14932823181,3719.768000602722,27102.00922012329,2507.8935737609863,48313.448625564575,7334.327880859375,43304.07968044281,3215.112151145935,50315.307973861694,7099.803582191467,41795.75460147858,4278.544137001038
2019/06/10,471391.5165300369,60950.12076187134,42383.424966812134,12564.784154891968,81712.98187541962,7040.029895782471,42640.95593738556,3945.947407722473,70505.78462219238,9656.626532554626,38384.56855964661,4753.069020271301,22678.072812080383,2840.026412963867,46831.31977367401,5723.501556396484,38696.974984169006,2850.0192098617554,54712.102345466614,7299.649545669556,32845.33065319061,4276.467025756836
2019/06/09,490483.7481946945,76319.73690128326,48063.308033943176,16659.640214920044,78720.77419948578,10162.589367866516,44875.09343910217,5794.122463226318,67989.69553661346,10468.446961402893,54594.30314826965,5886.728967666626,21690.363327026367,2287.2867918014526,56819.017391204834,7167.365931510925,39379.314480781555,6841.084983825684,41361.991693496704,6972.675127983093,36989.88694477081,4079.796091079712
2019/06/08,519323.07896232605,75825.58430099487,56879.48914909363,15806.37995147705,89367.4189748764,9635.821474075317,41255.77946662903,4563.037494659424,77200.8156452179,9976.846101760864,49803.83395385742,5372.127062797546,22139.34850025177,3302.977147102356,64394.36706542969,9188.89437866211,32322.53406238556,5582.425050735474,48126.349449157715,8493.856609344482,37833.14269542694,3903.219030380249
2019/06/07,504359.24817276,70552.4990606308,56673.00762462616,12865.502769470215,85122.29630661011,8651.27462387085,39006.36626911163,5306.387765884399,80381.80382156372,15121.19052696228,43792.04281139374,4833.470754623413,23692.094297409058,2515.8319597244263,53102.58643436432,5824.856019973755,44094.090806007385,4684.130310058594,41436.10019874573,6093.540465354919,37058.85960292816,4656.313864707947
2019/06/06,411126.4994239807,56614.13492488861,47258.708921432495,11624.694839477539,69047.12274837494,6447.557535171509,24198.23205757141,4514.279708862305,62328.03481197357,8684.913955688477,37043.03048992157,3289.4317770004272,24607.99941635132,2123.5116062164307,41312.160840034485,7288.530351638794,33295.20006942749,3279.950213432312,35857.84932613373,4159.661487579346,36178.160742759705,5201.603449821472
